FinCEN: Core Based Statistical Area (CBSA) Subjects Reported in Recent* MLF SARs (Subjects Per Million Population),,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBSA,MSA FIPS,2006 Q1 ,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,Header
"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,31.7,32.4,30.2,37.6,35.6,37.6,24.9,23.6,40.0,38.7,43.7,43.7,43.7,49.5,53.7,44.2,14.5,16.4,11.4,16.4,12.0,9.5,16.4,24.6,13.8,19.5,Data
"Milwaukee-Waukesha-West Allis, WI",33340,28.0,39.1,54.5,59.7,48.7,103.2,60.8,64.7,86.1,82.2,47.7,51.0,51.0,51.0,75.7,65.4,49.4,49.4,29.5,37.2,20.5,20.5,38.5,24.4,22.5,10.3,Data
"Jacksonville, FL",27260,17.6,35.2,38.3,42.2,52.4,61.8,51.5,86.1,109.9,69.9,79.0,88.9,64.6,119.3,97.1,109.9,15.1,44.4,40.7,31.6,18.1,8.3,27.1,22.6,28.2,47.6,Data
"Memphis, TN-MS-AR",32820,38.1,55.5,59.3,83.6,102.3,109.3,161.9,93.8,129.4,93.8,132.5,134.0,90.9,83.2,76.6,97.3,23.0,17.6,19.9,23.8,17.6,7.7,10.7,21.5,5.3,28.1,Data
"Louisville-Jefferson County, KY-IN",31140,22.3,26.5,33.5,24.5,33.5,37.6,38.8,44.5,59.0,64.7,30.4,27.2,20.0,46.4,35.0,42.1,13.5,11.9,15.1,18.3,17.5,7.9,12.7,13.5,10.9,6.2,Data
"Richmond, VA",40060,16.2,17.0,17.6,23.4,20.1,36.0,34.6,54.4,51.1,50.3,39.1,38.3,39.1,49.7,43.6,55.7,15.3,14.5,12.9,16.2,22.6,7.3,20.2,22.6,24.6,16.7,Data
"Oklahoma City, OK",36420,38.1,27.7,28.1,34.9,21.3,35.8,42.8,35.3,26.9,25.2,13.3,18.2,31.5,33.1,23.6,22.0,10.6,12.2,12.2,6.5,12.2,11.4,15.5,11.4,6.4,4.8,Data
"Hartford-West Hartford-East Hartford, CT",25540,17.0,20.4,22.8,22.8,15.2,21.1,28.7,53.1,32.9,36.2,21.8,31.9,17.6,28.5,29.3,23.4,11.7,9.2,13.4,29.3,11.7,5.0,6.7,10.9,5.8,4.1,Data
"New Orleans-Metairie-Kenner, LA",35380,28.2,22.8,28.4,38.5,53.7,37.5,51.4,53.2,40.6,29.7,34.2,34.2,50.5,49.6,44.5,42.0,20.2,17.6,20.2,10.9,7.6,8.4,16.8,16.8,16.3,11.1,Data
"Buffalo-Niagara Falls, NY",15380,3.5,14.9,6.2,16.8,15.9,8.8,16.0,8.9,7.1,12.4,8.0,23.1,12.5,14.2,11.6,9.8,6.2,15.1,5.3,6.2,6.2,0.9,8.0,9.8,7.0,3.5,Data
